课程代码,课程名称,开课院系,课程性质,课程类别,学分,教师信息
B2G140111,Probabilistic Operations Research,可靠性与系统工程学院,选修,一般通识类,2.0,黄婷婷+David Coit
B2G170111,Fiber-optic Communication Technology,仪器科学与光电工程学院,选修,一般通识类,2.0,伊小素
B2G170131,Optical Imaging Instruments: From Classical to Quantum,仪器科学与光电工程学院,选修,一般通识类,2.0,孙鸣捷
B2G170141,Principle and Application of Lasers,仪器科学与光电工程学院,选修,一般通识类,2.0,胡姝玲
B2G180111,Global Perspectives,北京学院,选修,一般通识类,2.0,John Poladian
B2G180121,The Route to Become a Global Engineer,北京学院,选修,一般通识类,2.0,Mark Stewart
B2G180131,Invention Innovation and Entrepreneurship,北京学院,选修,一般通识类,2.0,David Trones
B2G180141,Fundamentals of International Engineering,北京学院,选修,一般通识类,2.0,Jason Whaley
B2G180151,A Survey of Chinese Culture,北京学院,选修,一般通识类,2.0,赵晓男
B2G180161,Closer to China's Economy,北京学院,选修,一般通识类,2.0,赵晓男
B2G200111,Air Law and China,法学院,选修,一般通识类,1.0,刘  浩
B2G200121,Space Law and China,法学院,选修,一般通识类,1.0,刘  浩+Fabio Tronchetti
B2G200141,International Business Law - The Legal Environment of Doing Business in China,法学院,选修,一般通识类,1.0,薄守省
B2G200161,Criminal and Procedural Law of China,法学院,选修,一般通识类,1.0,刘  浩+Cao Jing
B2G250121,Learn to Speak Chinese (B),国际学院,选修,一般通识类,2.0,郭莉萍+赵丽+熊  瑛+沙茜+张永勤+董素兰+魏扬秀+赵丽+熊  瑛+魏扬秀+赵丽+董素兰
B2G260121,Chinese Human Landscape and Artistic Heritage,新媒体艺术与设计学院,选修,一般通识类,1.0,宫万琳
B2G060151,Data Science Probabilistic Modeling and Reasoning,计算机学院,选修,一般通识类,2.0,朱皞罡
B2G020120,航空电子导航,电子信息工程学院,选修,一般通识类,1.0,赵  昀
B2G060260,数字图像工程基础,计算机学院,选修,一般通识类,1.0,李  波+胡海苗
B2G070290,创意创新创业,机械工程及自动化学院,选修,一般通识类,1.0,王田苗
B2G070310,有趣的机构发明,机械工程及自动化学院,选修,一般通识类,1.0,于靖军
B2G270150,印象北京,化学学院,选修,一般通识类,1.0,薛  峰
B2G280200,沧桑正道：中国共产党与国家治理能力和治理体系现代化,马克思主义学院,选修,一般通识类,2.0,马炳涛
B2G510210,大学生团体心理辅导,学生处武装部,选修,一般通识类,1.0,张  焰
B2G170381,人工智能导论（全英文）,仪器科学与光电工程学院,选修,一般通识类,2.0,单光存+单光存+王  卓
B2G050170,材料力学创新试验,航空科学与工程学院,选修,一般通识类,1.0,赵  婧
B2G080120,管理学原理,经济管理学院,选修,一般通识类,1.0,吴  昊
B2G090140,《工科数学分析》系列开放式讲座（1）,数学与系统科学学院,选修,一般通识类,1.0,杨小远+文  晓
B2G090160,高等数学方法应用（1）,数学与系统科学学院,选修,一般通识类,1.0,冯伟杰
B2G110260,传媒、文化与社会,人文社会科学学院,选修,一般通识类,1.0,贾哲敏
B2G170290,信息感知基础实践,仪器科学与光电工程学院,选修,一般通识类,1.0,吕妍红
B2G170350,生活教育,仪器科学与光电工程学院,选修,一般通识类,2.0,冯丽爽
B2G170390,光电探测与成像技术,仪器科学与光电工程学院,选修,一般通识类,1.0,牛燕雄
B2G190140,计算机软件技术基础,物理科学与核能工程学院,选修,一般通识类,2.0,苗明川+苗明川+陈  彦
B2G210011,计算机导论（英文）,软件学院,选修,一般通识类,2.0,吕云翔
B2G240110,公共法语（1）,中法工程师学院,选修,一般通识类,4.0,张晓雯
B2G270160,基础化学虚拟仿真实验,化学学院,选修,一般通识类,2.0,鹿现永
B2G280210,中国近现代历史人物研究,马克思主义学院,选修,一般通识类,2.0,李文爽+宋芳芳+张树焕
B2G320130,无人机制作与竞技,工程训练中心,选修,一般通识类,1.0,杨伟群+崔  剑+崔  剑
B2G510230,大学生通用学习能力,学生处武装部,选修,一般通识类,1.0,董卓宁+孙泽斌+魏  茜+丁  丁+蔺  娜+董卓宁+曾  煜+刘淼淼+孙泽斌+张艳艳+郑晓宁+纪奕欣+李  丹+高  静+王  亚+郑晓宁+董萍萍+魏  茜+高  原+刁  旭+刘淼淼
B2G560350,大学生领导力拓展与训练,校内其它单位,选修,一般通识类,1.0,雷晓锋
B2G600170,当代国际政治,校外单位,选修,一般通识类,2.0,雷建锋
50G01110,人生哲学,马克思主义学院,选修,一般通识类,1.5,郁树廷
50G01220,古今茶文化,马克思主义学院,选修,公共选修课程,1.5,田  真
B2G020110,卫星通讯和导航,电子信息工程学院,选修,一般通识类,1.0,丛  丽
B2G020211,发明、创新与创业,电子信息工程学院,选修,一般通识类,2.0,雷  鹏
B2G020221,国际工程基础,电子信息工程学院,选修,一般通识类,2.0,关振宇
B2G020230,万物互联-无线网络的前生今世,电子信息工程学院,选修,一般通识类,1.0,刘婷婷
B2G030130,飞行器自动控制导论,自动化科学与电气工程学院,选修,一般通识类,1.0,江加和
B2G030170,MATLAB基础与应用,自动化科学与电气工程学院,选修,一般通识类,1.5,袁少强
B2G030190,仿生智能计算,自动化科学与电气工程学院,选修,一般通识类,1.0,段海滨
B2G060110,计算机网络,计算机学院,选修,一般通识类,1.5,李  巍
B2G060220,社会计算导论,计算机学院,选修,一般通识类,1.0,童  超
B2G060330,MATLAB图像与视频处理实用案例分析,计算机学院,选修,一般通识类,2.0,郑  锦+张永飞
B2G070160,机器人控制技术基础,机械工程及自动化学院,选修,一般通识类,1.0,李大寨
B2G100150,美容化妆品学,生物与医学工程学院,选修,一般通识类,1.0,荣  龙
B2G100170,动物行为与伦理,生物与医学工程学院,选修,一般通识类,1.0,刘美丽
B2G100180,空间生命保障技术,生物与医学工程学院,选修,一般通识类,2.0,刘  红
B2G110310,中国当代文学,人文社会科学学院,选修,一般通识类,2.0,于淑静
B2G150220,无人机系统概论,宇航学院,选修,一般通识类,1.0,王长辉
B2G170130,激光技术及应用,仪器科学与光电工程学院,选修,一般通识类,2.0,刘惠兰
B2G170220,激光雷达趣味导论,仪器科学与光电工程学院,选修,一般通识类,1.0,李小路
B2G270110,易学入门,化学学院,选修,一般通识类,1.0,薛  峰
B2G351030,涉外礼仪,国际通用工程学院,选修,一般通识类,1.0,赵海云
B2G520130,学术信息发现与利用,图书馆,选修,一般通识类,1.0,宋  爽
B2G010120,月球科学与探月工程,材料科学与工程学院,选修,一般通识类,1.0,卢惠民
B2G010140,21世纪新能源,材料科学与工程学院,选修,一般通识类,1.0,卢惠民
B2G010150,纳米科学与技术导论,材料科学与工程学院,选修,一般通识类,1.0,于  美
B2G010190,走进先进电池,材料科学与工程学院,选修,一般通识类,1.0,刘晓芳+刘晓芳+水江澜
B2G020160,大学生电子设计实训,电子信息工程学院,选修,一般通识类,1.0,张玉玺
B2G020251,大学学习及研究方法概论,电子信息工程学院,选修,一般通识类,1.0,刘兴春
B2G030110,航空电子系统概论,自动化科学与电气工程学院,选修,一般通识类,1.0,刘  中
B2G030120,导航技术发展概论,自动化科学与电气工程学院,选修,一般通识类,1.0,赵  龙
B2G030140,机器人技术,自动化科学与电气工程学院,选修,一般通识类,2.0,裴忠才+唐志勇
B2G030180,可靠性工程,自动化科学与电气工程学院,选修,一般通识类,1.5,石  健
B2G030210,项目管理概述,自动化科学与电气工程学院,选修,一般通识类,1.0,高元楼
B2G030220,机电系统健康管理技术,自动化科学与电气工程学院,选修,一般通识类,1.0,王少萍+张  超
B2G030260,电子系统设计综合创新实践,自动化科学与电气工程学院,选修,一般通识类,1.0,肖  瑾+张秀磊+范昌波
B2G030290,飞机容错控制系统,自动化科学与电气工程学院,选修,一般通识类,1.0,王兴坚
B2G040110,新能源技术概论,能源与动力工程学院,选修,一般通识类,1.0,陈  江+杜  刚
B2G040120,节能减排概论,能源与动力工程学院,选修,一般通识类,1.0,齐红宇+杜  刚+甘志文+刘  贺
B2G060120,C与C++程序设计语言,计算机学院,选修,一般通识类,2.0,盛  浩+刘  禹+刘  禹
B2G060210,动画设计与应用,计算机学院,选修,一般通识类,1.0,吴秀娟
B2G070150,环境设计,机械工程及自动化学院,选修,一般通识类,1.0,张  融
B2G070250,科技论文写作概论,机械工程及自动化学院,选修,一般通识类,1.0,蔡  军
B2G070280,京昆艺术赏析,机械工程及自动化学院,选修,一般通识类,1.0,陈  路
B2G080140,电子商务概论,经济管理学院,选修,一般通识类,1.0,闪四清
B2G080170,市场营销,经济管理学院,选修,一般通识类,1.0,李晨溪
B2G080180,职业生涯规划,经济管理学院,选修,一般通识类,1.0,苏文平+牟  晖
B2G090130,数学实验,数学与系统科学学院,选修,一般通识类,1.5,李  娅
B2G090150,《工科数学分析》系列开放式讲座（2）,数学与系统科学学院,选修,一般通识类,1.0,杨小远
B2G090170,高等数学方法应用（2）,数学与系统科学学院,选修,一般通识类,1.0,李美生+李  娅
B2G090180,数学中的典型例题与技巧,数学与系统科学学院,选修,一般通识类,1.0,李美生+李  娅
B2G110110,航空航天发展史,人文社会科学学院,选修,一般通识类,2.0,李成智
B2G110140,形式逻辑,人文社会科学学院,选修,一般通识类,1.0,曹庆萍
B2G110150,世界经济500年,人文社会科学学院,选修,一般通识类,1.0,张  丽
B2G110170,中外经济发展研究专题,人文社会科学学院,选修,一般通识类,1.0,张  丽
B2G120230,俄语二外（2） ,外国语学院,选修,一般通识类,2.0,王  蓉
B2G130130,现代汽车设计方法概论,交通科学与工程学院,选修,一般通识类,1.0,姬芬竹
B2G130260,大学生建筑结构设计竞赛,交通科学与工程学院,选修,一般通识类,2.0,周  耀
B2G150130,天文基础与航天,宇航学院,选修,一般通识类,1.0,胡维多
B2G150140,空间碎片与航天器,宇航学院,选修,一般通识类,1.0,贾光辉
B2G150190,动力技术,宇航学院,选修,一般通识类,1.0,王安良
B2G170110,物理效应及其应用,仪器科学与光电工程学院,选修,一般通识类,1.0,李长胜
B2G170161,A Brief History of Machine Intelligence,仪器科学与光电工程学院,选修,一般通识类,2.0,王  卓
B2G170330,3D扫描和数字化建模处理 ,仪器科学与光电工程学院,选修,一般通识类,1.0,欧  攀
B2G170340,3D打印和3D建模,仪器科学与光电工程学院,选修,一般通识类,1.0,欧  攀
B2G170420,量子物理史话,仪器科学与光电工程学院,选修,一般通识类,2.0,翟跃阳
B2G170430,走近传感器,仪器科学与光电工程学院,选修,一般通识类,1.0,樊尚春
B2G260110,中外现代设计鉴赏,新媒体艺术与设计学院,选修,一般通识类,1.0,庄维嘉
B2G260140,动画赏析与设计基础,新媒体艺术与设计学院,选修,一般通识类,1.0,卫诗磊
B2G270120,化学大师与化学发展,化学学院,选修,一般通识类,1.0,杨青林+郑咏梅+赵  勇+孙艳明+刘宇宙+刘明杰
B2G270170,生态文明与美丽中国,化学学院,选修,一般通识类,2.0,杨  军
B2G280120,生命教育,马克思主义学院,选修,一般通识类,1.0,郁树廷
B2G280180,多维视角下的中国大学,马克思主义学院,选修,一般通识类,2.0,何思源
B2G300211,环境与可持续发展,空间与环境学院,选修,一般通识类,1.0,范文宏
B2G510140,伦理学,学生处武装部,选修,一般通识类,1.0,邵明英
B2G560140,20世纪西方音乐大师及经典作品赏析,团委,选修,一般通识类,1.0,张  聪
B2G560270,职业发展与就业指导（1）,招生就业处,选修,一般通识类,1.0,赵  敏+袁文婧+刘  洋
B2G560440,大学生应急救援知识与技能,校机关,选修,一般通识类,1.0,许  可+查国清+查国清+孙铭涛
B2G010131,Functional Structural Materials in Nature: From Protection to Sensing,材料科学与工程学院,选修,一般通识类,1.0,Beth MORTIMER+管  娟
B2G030211,Computing Fundamentals and Vision Technology ,自动化科学与电气工程学院,选修,一般通识类,2.0,Jungong Han+张宝昌
B2G030231,Basics of Computer-Based Modelling and Simulation: Methodologies Technologies and Applications,自动化科学与电气工程学院,选修,一般通识类,2.0,Axel Lehmann+Zhongshi Wang
B2G030241,Machine Learning Theory and Application,自动化科学与电气工程学院,选修,一般通识类,2.0,Yida Richard XU
B2G030251,Advanced CAD/CAM Systems,自动化科学与电气工程学院,选修,一般通识类,2.0,Xianzhi Zhang+徐  东+戴  伟
B2G040221,Analytical and Characterization Techniques for Materials,能源与动力工程学院,选修,一般通识类,2.0,SHANG Lihong+Lihong Shang
B2G040231,Materials Science and Engineering,能源与动力工程学院,选修,一般通识类,2.0,Stephen YUE
B2G040241,Elasticity and Mechanics of Solids,能源与动力工程学院,选修,一般通识类,2.0,Song Jun
B2G040251,Introduction to Fatigue and Damage Tolerance in Aerospace Engineering ,能源与动力工程学院,选修,一般通识类,2.0,XIA Yuying
B2G040271,Optical Diagnostic Techniques for Soot Measurements in Flames,能源与动力工程学院,选修,一般通识类,1.0,LIU Fengshan+Fengshan Liu
B2G040281,Thermodynamics,能源与动力工程学院,选修,一般通识类,2.0,Jenping Chen 
B2G040291,Heat Transfer ,能源与动力工程学院,选修,一般通识类,1.0,Wong Teck Neng
B2G060161,Digital Visual Information Processing,计算机学院,选修,一般通识类,2.0,陆  峰
B2G070191,3D Parametric Product Modeling Using CATIA,机械工程及自动化学院,选修,一般通识类,2.0,Goran Devedzic+GoranDevedzic
B2G070201,Product Design for Innovation,机械工程及自动化学院,选修,一般通识类,2.0,王运巧+陈  路+王运巧+陈  路+王  韫
B2G070221,Employ Laser for Manufacturing Industry,机械工程及自动化学院,选修,一般通识类,2.0,管迎春
B2G070231,Introduction to Engineering Mechanics,机械工程及自动化学院,选修,一般通识类,2.0,Hongbing Fang
B2G070241,Mechanics of Deformable Bodies,机械工程及自动化学院,选修,一般通识类,2.0,Fodil Meraghni
B2G070251,Technologies of Developing Personal Aerial Vehicles (PAVs) ,机械工程及自动化学院,选修,一般通识类,2.0,Wulan Muqi+Linghai Lu+MuqiWulan+LinghaiLu
B2G070261,Strategies and Designs for Giving an A+ Presentation,机械工程及自动化学院,选修,一般通识类,2.0,Ying Petersen+YingPetersen
B2G070281,Fundamental of Robotic Mechanism Design,机械工程及自动化学院,选修,一般通识类,1.5,Haijun Su
B2G100121,Modern Energy Sources and the Environment,生物与医学工程学院,选修,一般通识类,2.0,Randall Manteufel
B2G120151,Chinese Visual Rhetoric,外国语学院,选修,一般通识类,1.0,孙  梅
B2G120161,Cross Cultural Communication between China and the U.S.,外国语学院,选修,一般通识类,1.0,Wang Juefei
B2G120271,Appreciating Written Texts,外国语学院,选修,一般通识类,2.0,方称宇
B2G120321,Elastic Language in Chinese and English: Essential for Successful ,外国语学院,选修,一般通识类,2.0,Grace Qiao Zhang
B2G120331,Macro Economics: Introduction to Game Theory,外国语学院,选修,一般通识类,1.0,Sara Justine Solnick
B2G120341,Rhetoric Theory,外国语学院,选修,一般通识类,1.0,Lv Xing
B2G120351,European Literature,外国语学院,选修,一般通识类,2.0,Bart van den Bossche
B2G130161,Automotive Design Process,交通科学与工程学院,选修,一般通识类,1.0,徐宏明
B2G130201,Automatic Control Engineering with Applications on Vehicles,交通科学与工程学院,选修,一般通识类,2.0,张  辉
B2G130211,Structural Analysis I,交通科学与工程学院,选修,一般通识类,2.0,吴  超
B2G130221,Introduction to Airport  Engineering,交通科学与工程学院,选修,一般通识类,2.0,xiaosong xiao
B2G140121,Movement Analysis Practice and Applications,可靠性与系统工程学院,选修,一般通识类,2.0,井志伟+黄婷婷
B2G150131,Aserospace Composites Structures,宇航学院,选修,一般通识类,2.0,KONG Changduk
B2G150141,Introduction to Spacecraft Dynamics and Control,宇航学院,选修,一般通识类,1.0,贾英宏+钟  睿
B2G160011,Airport Technology,飞行学院,选修,一般通识类,1.0,Gabriel Lodewijks
B2G160111,Aircraft and Flying,飞行学院,选修,一般通识类,2.0,水恒涌
B2G170151,Fundamentals Photonics Technology,仪器科学与光电工程学院,选修,一般通识类,2.0,郭  琦+郭  琦+Vladimir Chigrinov
B2G170171,Introduction to Soild-state Physics,仪器科学与光电工程学院,选修,一般通识类,2.0,单光存
B2G170361,Fiber Optics,仪器科学与光电工程学院,选修,一般通识类,2.0,丁  铭
B2G210121,Introduction to Model-Checking Timed Systems: Theory and Practice,软件学院,选修,一般通识类,2.0,Silvano DAL ZILIO
B2G250131,Chinese Culture Experience,国际学院,选修,一般通识类,1.0,张永勤+沙茜+张永勤+李仲凡+沙茜
B2G260131,Computer Vision: Design & Application,新媒体艺术与设计学院,选修,一般通识类,1.0,曹翀+曹  翀
B2G050190,私用飞机驾驶员执照理论基础,航空科学与工程学院,选修,一般通识类,2.0,王黎静+姬瑞鹏
B2G080190,人身保险,经济管理学院,选修,一般通识类,1.5,蒋  虹
B2G110350,经典小说与影片赏析,人文社会科学学院,选修,一般通识类,2.0,于淑静
B2G110360,古典诗歌鉴赏,人文社会科学学院,选修,一般通识类,2.0,于淑静
B2G130150,大学生方程式赛车设计与竞赛,交通科学与工程学院,选修,一般通识类,1.0,林海英
B2G140120,面向工业4.0的创新创业学习与实践,可靠性与系统工程学院,选修,一般通识类,2.0,马  剑
B2G170371,固态微纳传感元件基础（全英文）,仪器科学与光电工程学院,选修,一般通识类,2.0,袁  珩+翟跃阳
B2G240130,高级翻译,中法工程师学院,选修,一般通识类,2.0,周晓刚
B2G251310L,俗语选讲,国际学院,选修,一般通识类,1.0,魏扬秀
B2G252330L,汉字文化,国际学院,选修,一般通识类,1.0,张永勤
B2G280220,坚持党对人民军队的绝对领导——“习近平新时代中国特色社会主义思想研究”市级思想政治理论课系列,马克思主义学院,选修,一般通识类,2.0,张树焕+临时教师1+临时教师2
B2G100181,进化、行为与生态（全英文）,生物与医学工程学院,选修,一般通识类,1.0,陈建安
B2G100190,环境生物治理技术,生物与医学工程学院,选修,一般通识类,2.0,谢倍珍
B2G130220,Python编程与智能车技术,交通科学与工程学院,选修,一般通识类,2.0,徐国艳
B2G150240,揭秘小天体,宇航学院,选修,一般通识类,1.0,王  悦
B2G510240,青年思享进阶,学生处武装部,选修,一般通识类,1.0,董卓宁+赵巍胜+董卓宁
B2G700110,大国领袖,北航学院,选修,一般通识类,1.0,彭付芝+高  宁
B2G700120,航空航天科技与工程通识,北航学院,选修,一般通识类,1.0,高  静+梁伟涛+杨超+万志强+高  静
B2G700130,语言与表演艺术,北航学院,选修,一般通识类,1.0,李广玉+蒋  茁+孟昭宜+李广玉+孟昭宜
B2G700140,如何走近京剧,北航学院,选修,一般通识类,1.0,费玉平
B2G700150,素描与绘画艺术赏析,北航学院,选修,一般通识类,1.0,宫浩钦
B2G700160,交响乐入门与小提琴艺术实践,北航学院,选修,一般通识类,1.0,张  聪+蒋  茁+孟中男
B2G700170,大学生自我管理与修养提升,北航学院,选修,一般通识类,0.5,马  琳
B2G700180,本科生学业规划,北航学院,选修,一般通识类,1.0,苏文平+赵  敏+郑晓宁+苏文平+袁文婧+丁  丁+梁伟涛+董萍萍+高  静+郑晓宁+魏  茜
B2GA10010M,走进故宫,校外单位,选修,一般通识类,1.0,智慧树
B2GA10020M,艾滋病、性与健康,校外单位,选修,一般通识类,1.0,智慧树
B2G030330 ,无人机自主控制与管理系统设计,自动化科学与电气工程学院,选修,一般通识类,2.0,王宏伦
B2G060340,人工智能实战,计算机学院,选修,一般通识类,2.0,邹  欣+高小鹏
B2G111110L,中国音乐欣赏与实践,人文社会科学学院,选修,一般通识类,1.5,苏丹娜
B2G120411,英语演讲名篇赏析,外国语学院,任修,一般通识类,2.0,胥国红
B2G120421,学术英语口语,外国语学院,任修,一般通识类,2.0,徐  涛
B2G170140,医学成像技术概论,仪器科学与光电工程学院,任修,一般通识类,2.0,马建国
B2G170360,信息显示技术,仪器科学与光电工程学院,任修,一般通识类,2.0,王琼华
B2G280230,科学技术与社会导论,马克思主义学院,任修,一般通识类,2.0,王晶金
B2G352031,面向工程师的实际伦理问题,国际通用工程学院,任修,一般通识类,1.0,Harold Paul Sjursen
B2G560260,戏剧鉴赏（2）,团委,任修,一般通识类,1.0,钱晓天
B2G010210,元素的故事,材料科学与工程学院,任修,一般通识类,2.0,周  健
B2G030320,微纳米技术导论,自动化科学与电气工程学院,选修,一般通识类,1.0,张  蓓
B2G040141,新能源技术概论（全英文）,能源与动力工程学院,任修,一般通识类,1.0,刁训刚
B2G130240,大学生建筑结构设计竞赛,交通科学与工程学院,任修,一般通识类,3.0,周  耀
B2G170180,光电对抗技术,仪器科学与光电工程学院,选修,一般通识类,1.0,牛燕雄
B2G170190,计算成像技术导论,仪器科学与光电工程学院,选修,一般通识类,1.0,屈玉福
B2G170370,挑战测量极限--量子精密测量,仪器科学与光电工程学院,任修,一般通识类,2.0,全  伟
B2G170440,磁悬浮技术概论,仪器科学与光电工程学院,选修,一般通识类,1.0,孙津济
B2G260150,视觉艺术符号学导论 ,新媒体艺术与设计学院,任修,一般通识类,1.0,宫万琳
B2G280240,社会调研经典案例分析,马克思主义学院,任修,一般通识类,1.0,梁天屹
B2G700190,领导力开发,北航学院,任修,一般通识类,0.5,武  欣
B2G030261,Introduction of Robotics,自动化科学与电气工程学院,任修,一般通识类,2.0,王兴坚
B2G030281,Advanced Computer Aided Design (CAD),自动化科学与电气工程学院,任修,一般通识类,2.0,Xianzhi Zhang
B2G040301,Heat transfer,能源与动力工程学院,任修,一般通识类,2.0,Hongwei WU
B2G070311,Deployable and Tension Structures,机械工程及自动化学院,任修,一般通识类,1.0,You Zhong
B2G070321,System and Entreprise Engineering,机械工程及自动化学院,任修,一般通识类,1.0,Ali Siadat
B2G100131,Atherosclerosis Vulnerability Assessment: From In Vivo Imaging To Biomechanics,生物与医学工程学院,任修,一般通识类,1.0,Teng Zhongzhao
B2G120371,Progression from English Study to Interpreting and Translation Competence: Principles and Strategies,外国语学院,任修,一般通识类,1.0,Wang Binhua
B2G120381,Understanding Chinese Communication,外国语学院,任修,一般通识类,2.0,Grace Qiao Zhang
B2G120391,English for Acadamic Proposes: Acadamic Writing,外国语学院,任修,一般通识类,1.0,Elizabeth S. Rangel
B2G130231,Fuel Cell Fundamentals,交通科学与工程学院,任修,一般通识类,1.0,李蕴琪
B2G130241,Fuzzy Control and Applications,交通科学与工程学院,任修,一般通识类,1.0,Haiping Du
B2G140131,Reliability Design and Verification,可靠性与系统工程学院,任修,一般通识类,2.0,李晓阳
B2G140141,Introduction to Reliability Modelling and Analysis,可靠性与系统工程学院,任修,一般通识类,2.0,曾志国
B2G150151,Fundamental Astronomy and Space Technology,宇航学院,选修,一般通识类,1.0,胡维多
B2G150161,Solar System Bodies and Exploration,宇航学院,选修,一般通识类,1.0,王  悦+桂海潮
B2G170311,Introduction to Photogrammetry,仪器科学与光电工程学院,任修,一般通识类,1.0,李旭东
B2G170321,Introduction of Space Exploration,仪器科学与光电工程学院,任修,一般通识类,2.0,刘  杨
B2G170331,Medical Imaging Inside Out,仪器科学与光电工程学院,任修,一般通识类,2.0,马建国
B2G190121,Plasma Electron and Ion Source Based on Glow and Arc Discharges: Physics Technology and Some Applications for Surface Modification,物理科学与核能工程学院,任修,一般通识类,1.5,Efim Oks
B2G190131,Magnetron Sputtering of Functional Thin Films: Present Status and Trends,物理科学与核能工程学院,任修,一般通识类,1.0,Sergei Zenkin
B2G190141,Diagnostics of Intense Pulsed Electron and Ion Beams,物理科学与核能工程学院,任修,一般通识类,1.5,Vladislav Ryzhkov 
B2G190151,High-power Pulsed Accelerators of Charged Particles,物理科学与核能工程学院,任修,一般通识类,1.5,莱姆涅夫
B2G190161,Surface Materials Modification by Pulsed Energy Flows,物理科学与核能工程学院,任修,一般通识类,2.0,Uladzimir Uhlou
B2G270181,Transition Metal Complexes and Their Light-emitting Applications,化学学院,任修,一般通识类,2.0,黄维扬
B2G280111,Contemporary Chinese Foreign Policy and Its Global Governance Approach,马克思主义学院,任修,一般通识类,1.0,关孔文
B2G300121,Introduction to Environmental Science and Engineering,空间与环境学院,任修,一般通识类,2.0,申芳霞+梁  洁+Wenhong Li
B2G300131,Space Physics Fundamentals,空间与环境学院,任修,一般通识类,1.0,Lui Anthony
B2G350021,Drama (Theater Arts),国际通用工程学院,任修,一般通识类,1.0,Gary Lee Holstein
B1B351111,计算机科学与程序设计,国际通用工程学院,必修,工程基础类,3.0,Sebastian Wandelt+Sebastian Wandelt
B1B351121,数据管理和人工智能 ,国际通用工程学院,必修,工程基础类,3.0,Sebastian Wandelt+Sebastian Wandelt
B1B032110,模拟电子技术基础,自动化科学与电气工程学院,必修,工程基础类,4.0,唐  瑶
B1B032120,数字电子技术基础,自动化科学与电气工程学院,必修,工程基础类,3.0,王建华+张  静
B1B033010,微机原理及接口技术,自动化科学与电气工程学院,必修,工程基础类,3.0,刘  丽+林  新+李  妮
B1B033020,电气技术实践（2）,自动化科学与电气工程学院,必修,工程基础类,2.0,范昌波+申文达+孙  丹+李  莉+张  静+侯  钢+吴  冠+侯  钢+范昌波+孙  丹+张  静+侯  钢+李  可+黄亚玲+岳昊嵩
B1B033021,电气技术实践（2）（全英文）,自动化科学与电气工程学院,必修,工程基础类,2.0,黄亚玲
B1B033070,微机原理,自动化科学与电气工程学院,必修,工程基础类,2.5,袁海斌+范昌波
B1B033110,电磁场基础,自动化科学与电气工程学院,必修,工程基础类,3.5,肖春燕+陈兴乐
B1B05085A,热工基础B,航空科学与工程学院,选修,工程基础类,2.0,赵竞全
B1B052110,空气动力学A,航空科学与工程学院,必修,工程基础类,5.0,张  华
B1B05317B,空气动力学B（1）,航空科学与工程学院,必修,工程基础类,3.0,刘沛清+屈秋林
B1B073040,机械设计基础A(2),机械工程及自动化学院,必修,工程基础类,3.0,李秀琴+杨  洋+李秀琴+吴  琼+裴  旭
B1B073060,机械设计基础B(2),机械工程及自动化学院,必修,工程基础类,3.0,王之栎+马  纲+宁凤艳+王延忠+杨毅青+孙明磊+刘继红
B1B073120,流体传动,机械工程及自动化学院,必修,工程基础类,2.0,张建斌+万  敏+祁晓野+关世伟+吴向东+马俊功+李万国+李卫东
B1B103160,计算机组成原理与系统结构,生物与医学工程学院,必修,工程基础类,2.0,刘  涛
B1B322020,机械工程技术训练B,工程训练中心,必修,工程基础类,2.0,孙英蛟
B1B323010,综合创新训练,工程训练中心,必修,工程基础类,3.0,张  欣
B3B05314B,弹性力学*,航空科学与工程学院,必修,工程基础类,3.0,杨振宇
B1B322040,电子工程技术训练,工程训练中心,必修,工程基础类,2.0,张务谦
B1B023110,电子电路设计训练,电子信息工程学院,必修,工程基础类,2.0,刘兴春+张杰斌
B1B023150,微机原理与接口技术,电子信息工程学院,必修,工程基础类,3.0,秦红磊+路  辉+金  天+丛  丽+刘久文
B1B073080,机械设计综合实践A,机械工程及自动化学院,必修,工程基础类,3.0,马  纲+吴  琼+裴  旭+边宇枢+王之栎+李  勋+张建斌+李秀琴
B1B073090,机械设计综合实践B,机械工程及自动化学院,必修,工程基础类,2.0,李秀琴+马  纲+王之栎+张武翔+张建斌+王  伟+毕树生+高志慧
B1B102130,数值计算方法,生物与医学工程学院,必修,工程基础类,2.0,张冀聪+张光磊
B1B102140,数学物理方法,生物与医学工程学院,必修,工程基础类,3.0,许  燕
B1B102170,生物与医学工程研究方法,生物与医学工程学院,必修,工程基础类,2.0,蒲  放+胡大伟+牛旭锋
B1B102180,机械设计基础,生物与医学工程学院,必修,工程基础类,3.0,裴葆青+刘文勇
B1B352121,航空工程设计与制造基础,国际通用工程学院,限修,工程基础类,3.0,裴  旭
B1B352721,机械原理与设计（1）,国际通用工程学院,限修,工程基础类,3.0,于靖军+王玉亮
B1B322070,机械工程技术训练B,工程训练中心,必修,工程基础类,2.0,孙英蛟
B1A271020,大学化学B,化学学院,必修,数学与自然科学类,2.5,刘  欢+刘克松
B1A271041L,普通化学,化学学院,必修,数学与自然科学类,1.5,翟  锦
B1A09204A,概率统计A,数学与系统科学学院,必修,数学与自然科学类,3.0,阮元龙
B1A09103B,线性代数,数学与系统科学学院,必修,数学与自然科学类,4.0,王拥军
B1A27114D,有机化学,化学学院,必修,数学与自然科学类,2.0,陈贻炽
