姓名,学校,学院,职位,性别,个人主页,个人照片
赵巍胜,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/09688/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/2A/93/D7D547DC259C4CF561E4688FC61_F6862B0F_C524.jpg
胡远奇,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/yuanqihu86/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/E0/71/FC5FD2BCBB65D79C407BDC6F66A_8B8F6BF5_C29E.jpg
温良恭,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/wenlianggong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/31/4D/4E2459F6E43909F2E383FDF0367_6542821D_BBE6.jpg
林晓阳,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/XYLin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/4/67/06/3B370EFA01CC256900B179C809F_C0EA0FA3_B15E.jpg
成元庆,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/chengyuanqing/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/29/A4/43F3844CF0DB1BFF374F8BE8BA3_7AB33AF9_D1C8.jpg
曾琅,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/midfielder/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/B9/AE/ADF11E1B2CA7BA70B90C9B65C5C_49BCA8EB_7E48.jpg
洪宾,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/binhong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/E6/7F/14F4231988B5447C99B14E3C7DD_3EE6755B_1F6A.jpg
张帆,北京航空航天大学,微电子学院,教授,女,http://shi.buaa.edu.cn/fanzhang/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
雷娜,北京航空航天大学,微电子学院,教授,女,http://shi.buaa.edu.cn/leina/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/D1/D6/803F23484EE758B5A7BC532EFC4_BB787017_8BF4.jpg
康旺,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/kangwang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/F4/2A/B52FDEF6E8B5156B3C23D0A4588_3B705824_BD78.jpg
彭守仲,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/shouzhong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/63/96/1B2BDCAF276F1B3F8FDDA98C5AE_B7E36D27_1263B.jpg
于海明,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/hyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/D4/C2/3E0F77EE9212B9EC0CD13A9E32C_90F2DE6D_9DBA.jpg
聂天晓,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/nietianxiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/D2/3A/B658DF4ACC931A8FC8EBCE51C98_E5521EB0_5173.jpg
张悦,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/yuezhang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/50/AD/25088EBB900D2FEB7C2F8DB9216_E023D902_BD7D.jpg
王昭昊,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/howard/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/0C/EC/845C800D0808EF69A5CE712D93E_FB4C7A0E_BD56.jpg
张学莹,北京航空航天大学,微电子学院,教授,男,http://shi.buaa.edu.cn/zhangxueying/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/AD/4A/1ACEDC8A569A051EED19941FDE8_5A66DF9D_8464.jpg
徐其志,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/qizhi/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/FE/2F/404EA9E7373EAD66D3177562467_F15CBD92_32EB.jpg
马帅,北京航空航天大学,计算机学院,博士生导师+教授,N/A,http://shi.buaa.edu.cn/mashuai/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
郑锦,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/zhengjin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/63/FC/3CCFCC9A53EDA7AFBE50377C63C_96318E45_3DCE.jpg
郑剑,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/zhengjian/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
姚燕青,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/yaoyanqing/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
07314,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/07314/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
胡海苗,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/huhaimiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/1D/71/CF81BEB2898A75DC5C469246CC5_7C3E61F6_16FF9.jpg
张莉,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/06453/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/7B/6A/700CA6B3F8DE2FE7BE261822220_6263DA07_DBDC.jpg
潘俊君,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/jujun_pan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/C3/CA/28F545034C040D7470A32872736_5FB56865_396B.jpg
李云春,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/liyunchun/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/AA/A8/07C6B308B4BFC8D5224F6BE89BA_E2171DB3_75C4.jpg
张日崇,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/zhangrichong/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
张永飞,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/yfzhang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/78/4C/88F1A3874BDD2476177B0B8F4A8_59EC474A_DB9D.jpg
姜博,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/jiangbo/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/8E/3D/0D2E9AB0BF3156872E6738C1A41_FE9C2455_5DD2.jpg
刘偲,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/liusi/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/07/08/80E96D500719A695AB94DD7D4A6_5B7F4861_6801.jpg
冷彪,北京航空航天大学,计算机学院,博士生导师+教授,N/A,http://shi.buaa.edu.cn/lengbiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
李辉勇,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/lihuiyong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/84/0D/DC7A6CFE67F07E6BA63DA44F92E_A7EFBD34_2C56.jpg
陆峰,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/lufeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
诸彤宇,北京航空航天大学,计算机学院,博士生导师+教授,N/A,http://shi.buaa.edu.cn/zhutongyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
b16093,北京航空航天大学,计算机学院,博士生导师+教授,N/A,http://shi.buaa.edu.cn/b16093/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
杨海龙,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/yanghailong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/45/41/CD6C36FEB883E89E9663880157A_C0960AEE_272C.jpg
刘庆杰,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/liuqingjie/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/21/28/13A1B15AD13D882D269F53D725C_8F7FA4E4_7F9A.jpg
胡春明,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/huchunming/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/90/A0/BEA589A00F49C72517D1C2A7E02_FE199172_4840.jpg
王锐,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/wangrui/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/6B/DD/DE80832B8537D732FE1A7B01E2A_2726A283_6BA6.jpg
百晓,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/baixiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/47/1D/933769561A2462AC58B9F08EDF5_61AAC6C9_2EB6.jpg
刘祥龙,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/xlliu/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/EB/B7/BCB8F202BD44DCEE3D17964F158_226CC1EE_992B.jpg
周忠,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/zhouzhong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/E9/E6/70EBFAB7A5EE703B1690A80B8E6_2042D79D_6455.jpg
肖利民,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/xiaolimin/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
王德庆,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/dqwang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/FE/23/2A2CD2C9ED21823F005DCCC4931_F52EF0CD_74AA.jpg
史晓华,北京航空航天大学,计算机学院,博士生导师+教授,男,http://shi.buaa.edu.cn/shixiaohua/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/0E/E0/095F56C205393795B4F33FABDED_951BE59B_62DD.jpg
李莹,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/liying/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/B4/7D/4CEC08DA67D92CD74FD36360FAF_3F2E4F6D_9DBE.jpg
李欢,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/lihuan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/A/7C/94/DAC4A45582B992FDFCBAE11D501_05DD6B94_50B4.jpg
刘莹,北京航空航天大学,计算机学院,博士生导师+教授,女,http://shi.buaa.edu.cn/liuying/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/0C/50/F4D56441007AAEAA390BADB8DE5_701852D7_BFF.jpg
李锐星,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/liruixing/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/3/60/27/95E3743A056AEC01D60CE2BAF3F_A7F57380_F0F3.jpg
吴煜烨,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/wuyuye1989/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/5D/FA/B51BFC3D96627EB72980B00E73C_3F63D24E_A518.jpg
李岩,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/liyan2/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/35/9D/536FFDA3B27A686E709BCD84B70_99B4F38E_E37A.jpg
陈爱华,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/chenaihua/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/02/53/08ED0CE3D07CEB8839A4D0ECD93_BFFABEE3_D400.jpg
刘知琪,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/liuzhiqi/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/99/0F/86EFAED8246B98062B539FC7B36_348B45C5_971C.jpeg
赵立东,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/zhaolidong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/53/A1/1977066543916B957318FFC52FF_05F6C17F_47D5.jpg
杨圣雪,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/yangshengxue/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/CA/39/CB77F5794F5D795459023EEF596_D590E9AE_B0DA.jpg
祝令刚,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/zhulinggang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/CB/AD/35C3928EF56FC89294CEA0407AB_FB1E0A2B_CBD0.jpg
张瑞丰,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/zrf/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/CD/14/70AA9BD3ABAD50082F74E42CBC2_3C975344_3CF9.jpg
吴国清,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/wuguoqing/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/AF/C2/0495326ED4B4E065B1B74D11548_3E651D2D_8E5A.jpg
张晓亮,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/panda1985/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/D/63/19/F33F179E062D92F7D7120AE97FA_D7BF940D_B46F.jpg
郑瑞晓,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/zhengruixiao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/BD/8C/60929F9BC7DA8591BF43C16BF5B_EE91EB73_CA15.jpeg
邱春雷,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/qiuchunlei/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
何蓓,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/hebei/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/51/61/29496D280615B822618A7D10A71_F84930BA_CE76.jpg
杨树斌,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/yangshubin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/19/EB/D1CC2D63A91091A74A4E54257F3_89BA46BF_EF91.jpg
胡成宇,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,N/A,http://shi.buaa.edu.cn/huchengyu/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
07507,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,N/A,http://shi.buaa.edu.cn/07507/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
司晨,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/si/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/B/D1/6C/F83748631917ABB5308E8D0DB3F_68E828D7_DC3E.jpg
裴延玲,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,N/A,http://shi.buaa.edu.cn/peiyanling/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
李卓,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/lizhuo/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/76/32/989BB996C4892975B2700F3D582_8C0CB70B_2E18.jpg
宫勇吉(Yongji Gong),北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/gongyongji/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/4B/7B/69120B143ED0E6A20C53B1F1D06_9FF4AAC0_76D6.jpg
王小群,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/wangxiaoqun/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/0F/01/6FE64DA02D38BDB3AF2BC02B42F_384E23E5_8309.jpg
李树索,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,N/A,http://shi.buaa.edu.cn/lishusuo/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
李彬,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/libin1/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/E4/2F/B846785E9B6B905BDE3E2C8ABC8_1AA8D99A_8D1A.jpg
尚家香,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/shangjiaxiang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/12/E8/B43F25C46B8002AFD2F0DA0D390_819F8F44_FB2B.jpg
李敏,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/limin104/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/64/C2/87F85EC6A4FAA5FA1802C3D929B_EF35119F_ABE8.jpg
曾敏,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/cengmin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/2/64/5E/F1240E0FFFD5B1C39C58583E457_3068E10A_60EC.png
于美,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,女,http://shi.buaa.edu.cn/yumei/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
刘金章,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/liujinzhang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/D0/5F/BE30B03C8CB7AF899F43E24F462_496F8433_D8EB.jpg
张凌云,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/zhanglingyun/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/BF/54/11AC5FA9B9EE57197E1DB2864A9_D457F19E_99F5.jpg
陈海宁,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/chenhaining/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/74/A0/F9560957F8ACEC4BD9382379A67_3E157772_D8DE.jpg
邓元,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/dengyuan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/21/97/E9E1C863695AAECB2697D377691_F122429A_CE48.jpg
水江澜,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/shuijianglan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/FA/31/3A47395533C57971F2612AB2F67_5E528457_984A.jpg
罗靓,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/luojing/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
张跃,北京航空航天大学,材料科学与工程学院,博士生导师+研究生导师+教授,男,http://shi.buaa.edu.cn/zhangyue/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/04/84/EA225130283F11C98B6A9500994_DECA39EB_BF64.jpg
赵欣,北京航空航天大学,电子信息工程学院,研究生导师+副教授,女,http://shi.buaa.edu.cn/09562/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/4A/42/C1FD380158062EDB4EFF88EBAB1_82D76C32_5F1A.jpg
孙兵,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/sunbing/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/17/32/DC3997453ACF999D8050261C51F_8E7E929C_5DF9.jpg
杨顺川,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/yangshunchuan/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/C/CE/0F/D70BCD851364E7CBAC5FC58476D_76C3E2AF_15091.jpg
徐迈,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/MaiXu/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/5/12/A3/DC699F863BA014AA9E2517DE1C7_F4904223_BD4D.jpg
刘荣科,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/liurongke/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/05/DC/FF35ECA8851FDA8D1E8AF2A0AB6_4013F14F_7AC2.jpg
肖振宇,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/09690/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/4/74/89/D10F27844E193F659E28D39B7B5_D55AB879_DFBF.png
王向荣,北京航空航天大学,电子信息工程学院,研究生导师+副教授,女,http://shi.buaa.edu.cn/wangxiangrong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/B2/72/4422DCCCCB27ACE7B0A80001C99_265F7CC4_45AE.jpg
万育航,北京航空航天大学,电子信息工程学院,研究生导师+副教授,女,http://shi.buaa.edu.cn/09467/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/A4/E8/8B8132DFD2741424843E1978852_F46E1ACE_48F7.jpg
王祖林,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/wangzulin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/7E/04/13946970D70146DC326315DAF58_3E0E8112_6276.jpg
任强,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/renqiang/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/2F/12/C559BF1A174B403E96B04A718EE_FEDA6137_A764.jpg
杜文博,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/duwenbo/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/8/7B/63/64E1FF6D8A75F1DEE28878033A1_5524C548_7F99.jpg
潘彪,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/mingren200323/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
郑玉簋,北京航空航天大学,电子信息工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/zhengyugui/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
贾小涛,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/jiaxiaotao/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/7D/EF/991CF92D8F4E78B51DE9E2EE938_089AA03D_A158.jpg
欧阳鹏,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/ouyangpeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/8A/AC/053EE3C8B4BBC377DEC1EC8A6CA_7F29F6AB_B2FD.jpg
uuinfini,北京航空航天大学,电子信息工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/uuinfini/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
陈立江,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/buaaclj/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/E9/AD/16C733625169743F29B34B7BFBB_44EFAC0A_28C3.jpg
孙小倩,北京航空航天大学,电子信息工程学院,研究生导师+副教授,女,http://shi.buaa.edu.cn/xiaoqiansun/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/1/5A/0B/F75F25A24BB63EE3548E5325120_FF36D474_28F0.jpg
Sebastian,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/wandelt/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/0/5E/BC/377EDEF949F936574D9F18E509B_B471314F_9A3F.jpg
李晓白,北京航空航天大学,电子信息工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/lixiaobai/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
曾国奇,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/zengguoqi/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/85/1A/B5073D119CE2B6096474FF7DC2F_63BE113F_423B.jpg
贾云峰,北京航空航天大学,电子信息工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/jiayunfeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
郑昊鹏,北京航空航天大学,电子信息工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/zhenghaopeng/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
周强,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/zhouqiang1/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/6/B9/4A/421B0E6D862309603DF6D65AE2F_4540994A_11FAD.jpg
李奕晗,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/yihanli/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/E/07/D3/5D4B400B45D3EAE810085955B04_C606AB4F_8AA0.jpg
09244,北京航空航天大学,电子信息工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/09244/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
甄先通,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/zhenxt/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/9/AB/54/594AAB8D57F3447172C346EF2CB_8D7DEFC3_9A78.png
08987,北京航空航天大学,电子信息工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/08987/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
lovefree,北京航空航天大学,电子信息工程学院,研究生导师+副教授,N/A,http://shi.buaa.edu.cn/lovefree/zh_CN/index.htm, http://teacher.buaa.edu.cn/system/resource/tsites/images/defaultteacherimg.png
诸葛晓栋,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/zhugexiaodong/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/7/88/2B/1FAA3841E4A089DE287C7BB2A58_DF0B3AA3_E7D8.jpg
孙泽斌,北京航空航天大学,电子信息工程学院,研究生导师+副教授,男,http://shi.buaa.edu.cn/sunzebin/zh_CN/index.htm, http://teacher.buaa.edu.cn/__local/F/AF/06/865CF7E54E9F6F0902C68833C55_5A2208DA_B953.jpg
